% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
385 +4.162406499e+02 +4.162406499e+02 +6.437606499e+02 +2.275200000e+02 -3.6678e+00 -2.0583e+00 -3.2495e+00 -3.5147e-01 +3.1641e+00 -1.3904e+00 -1.1338e+00 +1.5189e+00 +1.3042e+00 -1.8300e+00 -1.6384e+00 -1.3548e+00 -4.3624e+00 -5.0623e-01 -2.2831e-01 -2.4614e+00 +1.1267e+00 -1.3905e+00 +4.4034e-01 -2.8613e-01
573 +3.131337556e+02 +3.131337556e+02 +5.406537556e+02 +2.275200000e+02 -3.6678e+00 -2.3818e+00 -2.8758e-01 +1.3393e+00 -2.6330e-01 -6.5792e-01 +9.4681e-01 +3.8450e-01 +1.3042e+00 -1.8300e+00 -1.6384e+00 -1.3548e+00 -4.3624e+00 -5.0623e-01 -2.2831e-01 -2.4614e+00 +1.1267e+00 -1.3905e+00 +4.4034e-01 -2.8613e-01
1329 +2.295419005e+02 +2.295419005e+02 +4.570619005e+02 +2.275200000e+02 -2.2478e+00 +7.8083e-01 -2.8758e-01 +1.3393e+00 +1.5649e+00 -1.3037e+00 +5.8875e-01 +3.8450e-01 +2.5105e+00 +3.4321e+00 -2.4209e+00 -2.1677e-01 -1.2915e+00 -1.0630e-01 +5.6587e-01 -8.3454e-01 -1.0160e+00 -2.2640e-01 +2.1409e+00 -1.8836e-01
4713 +1.562710281e+02 +1.562710281e+02 +3.837910281e+02 +2.275200000e+02 -2.2161e+00 -1.1624e-01 -2.8758e-01 +1.3414e+00 +2.5017e+00 -1.4289e+00 +1.1247e+00 +4.4266e-01 +2.5105e+00 +1.6214e+00 -2.4209e+00 -2.1677e-01 -1.2483e+00 -1.0290e+00 +2.0954e+00 -8.6937e-01 -1.0160e+00 -1.3905e+00 +4.4034e-01 -2.8613e-01
127076 +9.989688561e+01 +9.989688561e+01 +3.274168856e+02 +2.275200000e+02 -2.2161e+00 -1.3181e-01 -3.0114e-01 +1.3508e+00 +2.5017e+00 -1.4320e+00 +1.1253e+00 +4.6553e-01 +2.5285e+00 +1.5789e+00 -2.4099e+00 -2.1969e-01 -1.2630e+00 -1.0316e+00 +2.1283e+00 -9.1408e-01 -1.0571e+00 -1.4356e+00 +3.9659e-01 -2.8376e-01
% function evaluation | noise-free fitness - Fopt (6.370000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.582978333e+02 +7.582978333e+02 +7.646678333e+02 +6.370000000e+00 -4.1222e+00 -3.4655e+00 +4.8618e+00 -3.3630e-01 -1.0730e+00 +3.0228e+00 -7.2750e-02 -4.6103e+00 -3.1414e+00 +2.8964e+00 -2.5630e+00 +8.2698e-01 -3.4521e+00 +7.3980e-01 +1.5286e-01 -4.2467e+00 -2.2517e+00 -2.0291e+00 -1.5423e+00 -2.9322e+00
391 +3.727171810e+02 +3.727171810e+02 +3.790871810e+02 +6.370000000e+00 -9.1806e-01 -1.7598e+00 +1.1726e+00 +3.6528e+00 -4.3461e-01 -1.3428e+00 +4.0374e+00 -1.6248e+00 +5.3647e-03 -6.7932e-01 -4.0076e+00 -2.0952e+00 -7.4170e-01 -1.6353e+00 +1.7824e+00 -4.9231e-01 +5.2899e-01 -1.1575e+00 +5.6792e-01 +4.5006e+00
1127 +2.439810564e+02 +2.439810564e+02 +2.503510564e+02 +6.370000000e+00 +2.5664e+00 -1.2264e-01 +2.9315e+00 +3.1701e-01 +1.2400e+00 +5.8600e-01 -8.8092e-01 +2.7462e+00 +7.0442e-01 -1.6281e+00 +2.5633e+00 -1.4073e+00 +9.1811e-01 +1.8670e+00 -2.6514e+00 +2.0292e+00 +1.7158e+00 +1.7987e+00 +5.0152e-01 -3.0515e+00
3893 +1.523577301e+02 +1.523577301e+02 +1.587277301e+02 +6.370000000e+00 +2.2425e+00 +5.4300e-01 +1.4956e+00 -6.8015e-01 +1.7169e+00 +2.6529e+00 -8.8092e-01 +2.2764e+00 +7.0442e-01 -1.6332e+00 +2.2914e+00 -1.4073e+00 +9.1811e-01 +1.0760e+00 -2.6514e+00 +2.0292e+00 +1.4785e+00 +2.3279e+00 +6.1735e-01 -2.3091e+00
